cruise,cast,niskin,niskin_other_method,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.86449403,2.136277206,28.2,15.7,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.86449403,2.136277206,31.6,17.1,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.86449403,2.136277206,31,17.2,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.86449403,2.136277206,21.2,11.4,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.86449403,2.136277206,20.1,11.3,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.86449403,2.136277206,17.1,9.83,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.86449403,2.136277206,143,77.2,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.86449403,2.136277206,142,75.8,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.86449403,2.136277206,141,77.4,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,L1,NaN,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.86449403,2.136277206,71.1,34.5,1.075,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
