cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.813376915,2.21629417,43.1,26.8,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.813376915,2.21629417,44.1,27.2,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.813376915,2.21629417,49.3,26,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.813376915,2.21629417,39,19.8,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.813376915,2.21629417,36.1,18.4,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.813376915,2.21629417,35.6,18,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.813376915,2.21629417,210,114,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.813376915,2.21629417,211,127,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.813376915,2.21629417,207,121,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.813376915,2.21629417,165,82.4,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.813376915,2.21629417,162,82.2,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.813376915,2.21629417,156,79.3,0.95,0.9465,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,a,a,>0&<200,152,6,0.813376915,2.21629417,58.1,31.7,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,a,b,>0&<200,152,6,0.813376915,2.21629417,54.9,28.7,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,a,c,>0&<200,152,6,0.813376915,2.21629417,50.1,30.9,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,b,a,>0&<200,152,6,0.813376915,2.21629417,49.5,29.2,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,b,b,>0&<200,152,6,0.813376915,2.21629417,55.6,28,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,b,c,>0&<200,152,6,0.813376915,2.21629417,53.5,30.3,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,a,a,>0&<200,152,6,0.813376915,2.21629417,201,122,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,a,b,>0&<200,152,6,0.813376915,2.21629417,203,127,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,a,c,>0&<200,152,6,0.813376915,2.21629417,217,120,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,b,a,>0&<200,152,6,0.813376915,2.21629417,207,108,0.9165,0.899,,,,,,,,
