cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.776503022,2.22867365,8.67,5.44,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.776503022,2.22867365,8.82,5.46,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.776503022,2.22867365,8.56,5.3,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.776503022,2.22867365,2.5,2.03,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.776503022,2.22867365,2.3,1.64,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.776503022,2.22867365,2.02,1.47,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.776503022,2.22867365,38.9,21.8,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.776503022,2.22867365,24.1,25.1,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.776503022,2.22867365,39.8,24.4,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.776503022,2.22867365,5.77,3.33,1.06,1.06,NaN,NaN,NaN,NaN,NaN,NaN
