DateTimeHOBO_UTC,Temp_Inc,Light_Inc
4/19/2022 17:52,16.17,59207.68
4/19/2022 17:57,16.26,37283.84
4/19/2022 18:02,15.06,37724.16
4/19/2022 18:07,14.75,33771.52
4/19/2022 18:12,14.28,38584.32
4/19/2022 18:17,16,85606.4
4/19/2022 18:22,15.1,61952
4/19/2022 18:27,14.88,94863.36
4/19/2022 18:32,14.2,36372.48
4/19/2022 18:37,16.21,72806.4
4/19/2022 18:42,14.63,72478.72
4/19/2022 18:47,15.14,81039.36
4/19/2022 18:52,15.91,75100.16
4/19/2022 18:57,15.44,27074.56
4/19/2022 19:02,16.47,64921.6
4/19/2022 19:07,15.61,37877.76
4/19/2022 19:12,14.88,24043.52
4/19/2022 19:17,14.84,32880.64
4/19/2022 19:22,13.17,20746.24
4/19/2022 19:27,12.91,25139.2
4/19/2022 19:32,12.7,24442.88
4/19/2022 19:37,13.04,25139.2
4/19/2022 19:42,14.97,65781.76
4/19/2022 19:47,15.1,60702.72
4/19/2022 19:52,15.27,52879.36
4/19/2022 19:57,15.57,56422.4
4/19/2022 20:02,15.1,53514.24
4/19/2022 20:07,14.75,52613.12
4/19/2022 20:12,14.63,49623.04
4/19/2022 20:17,14.5,48373.76
4/19/2022 20:22,14.41,41789.44
4/19/2022 20:27,13.43,24145.92
4/19/2022 20:32,12.87,20674.56
4/19/2022 20:37,12.27,19394.56
4/19/2022 20:42,11.71,18995.2
4/19/2022 20:47,11.49,18657.28
4/19/2022 20:52,11.32,18411.52
4/19/2022 20:57,11.24,17776.64
4/19/2022 21:02,11.41,21565.44
4/19/2022 21:07,11.71,34795.52
4/19/2022 21:12,12.14,35973.12
4/19/2022 21:17,12.4,34990.08
4/19/2022 21:22,12.44,33669.12
4/19/2022 21:27,12.18,33361.92
4/19/2022 21:32,12.1,31303.68
4/19/2022 21:37,11.92,30085.12
4/19/2022 21:42,11.45,26746.88
4/19/2022 21:47,9.99,13634.56
4/19/2022 21:52,9.56,11909.12
4/19/2022 21:57,9.26,11427.84
4/19/2022 22:02,9.18,11023.36
4/19/2022 22:07,9.01,9646.08
4/19/2022 22:12,9.18,14320.64
4/19/2022 22:17,8.19,5808.64
4/19/2022 22:22,8.75,13608.96
4/19/2022 22:27,8.66,10114.56
4/19/2022 22:32,7.85,4398.08
4/19/2022 22:37,7.59,4259.84
4/19/2022 22:42,7.98,6607.36
4/19/2022 22:47,7.76,4808.96
4/19/2022 22:52,7.93,5813.76
4/19/2022 22:57,7.85,5688.32
4/19/2022 23:02,7.55,3155.2
