DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,
2/1/2020 15:58,17.41,"9,093", , 
2/1/2020 16:03,8.62,"11,059", , 
2/1/2020 16:08,6.86,"10,527", , 
2/1/2020 16:13,6.48,"11,510", , 
2/1/2020 16:18,6.39,"12,749", , 
2/1/2020 16:23,6.3,"8,614", , 
2/1/2020 16:28,6.26,"8,315", , 
2/1/2020 16:33,6.39,"11,566", , 
2/1/2020 16:38,6.35,"8,996", , 
2/1/2020 16:43,6.22,"8,269", , 
2/1/2020 16:48,6.39,"12,370", , 
2/1/2020 16:53,6.39,"10,399", , 
2/1/2020 16:58,6.26,"8,801", , 
2/1/2020 17:03,6.43,"10,268", , 
2/1/2020 17:08,6.3,"8,671", , 
2/1/2020 17:13,6.39,"9,859", , 
2/1/2020 17:18,6.35,"7,724", , 
2/1/2020 17:23,6.13,"5,844", , 
2/1/2020 17:28,6.22,"6,060", , 
2/1/2020 17:33,6.17,"6,671", , 
2/1/2020 17:38,6.17,"6,308", , 
2/1/2020 17:43,6.17,"6,098", , 
2/1/2020 17:48,6.35,"9,802", , 
2/1/2020 17:53,6.39,"8,348", , 
2/1/2020 17:58,6.3,"6,313", , 
2/1/2020 18:03,6.3,"7,178", , 
2/1/2020 18:08,6.43,"10,222", , 
2/1/2020 18:13,6.39,"9,341", , 
2/1/2020 18:18,6.43,"8,159", , 
2/1/2020 18:23,6.39,"7,250", , 
2/1/2020 18:28,6.35,"7,004", , 
2/1/2020 18:33,6.3,"6,861", , 
2/1/2020 18:38,6.3,"6,072", , 
2/1/2020 18:43,6.26,"4,940", , 
2/1/2020 18:48,6.22,"3,086", , 
2/1/2020 18:53,6.09,"2,249", , 
2/1/2020 18:58,6.09,"2,054", , 
2/1/2020 19:03,6.09,"1,718", , 
2/1/2020 19:08,6.05,"1,496", , 
2/1/2020 19:13,6.05,"1,315", , 
2/1/2020 19:18,6.05,"1,214", , 
2/1/2020 19:23,6.09,"1,452", , 
2/1/2020 19:28,6.05,"1,391", , 
2/1/2020 19:33,6,"1,327", , 
2/1/2020 19:38,6.05,"1,275", , 
2/1/2020 19:43,6.05,"1,479", , 
2/1/2020 19:48,6,"1,430", , 
2/1/2020 19:53,6.09,"1,718", , 
2/1/2020 19:58,6.09,"1,736", , 
2/1/2020 20:03,6.05,"2,309", , 
2/1/2020 20:08,6.13,"3,496", , 
2/1/2020 20:13,6.09,"1,480", , 
2/1/2020 20:18,6.09,"1,891", , 
2/1/2020 20:23,6.05,"1,642", , 
2/1/2020 20:28,5.96,"1,547", , 
2/1/2020 20:33,5.96,"1,607", , 
2/1/2020 20:38,5.92,"1,084", , 
2/1/2020 20:43,5.92,930, , 
2/1/2020 20:48,5.96,"2,353", , 
2/1/2020 20:53,5.96,842, , 
2/1/2020 20:58,6,"1,004", , 
2/1/2020 21:03,6,"1,165", , 
2/1/2020 21:08,6.05,765, , 
2/1/2020 21:13,6.09,526, , 
2/1/2020 21:18,6.05,635, , 
2/1/2020 21:23,6.09,624, , 
2/1/2020 21:28,6.05,425, , 
2/1/2020 21:33,6,396, , 
2/1/2020 21:38,6,281, , 
2/1/2020 21:43,5.96,183, , 
2/1/2020 21:48,5.92,113, , 
2/1/2020 21:53,5.96,73, , 
2/1/2020 21:58,5.92,33, , 
2/1/2020 22:03,5.83,61, , 
2/1/2020 22:08,5.83,67, , 
2/1/2020 22:13,5.79,55, , 
2/1/2020 22:18,5.79,52, , 
2/1/2020 22:23,5.75,57, , 
2/1/2020 22:28,5.66,53, , 
2/1/2020 22:33,5.57,50, , 
2/1/2020 22:38,5.49,55, , 
2/1/2020 22:43,5.4,51, , 
2/1/2020 22:48,5.36,50, , 
2/1/2020 22:53,5.27,49, , 
2/1/2020 22:58,5.23,51, , 
