DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,
7/24/2020 12:43,28.31,"22,364", , , 
7/24/2020 12:48,29.26,"18,872", , , 
7/24/2020 12:53,29.68,"16,251", , , 
7/24/2020 12:58,29.9,"16,010", , , 
7/24/2020 13:03,30.11,"16,783", , , 
7/24/2020 13:08,30.41,"17,234", , , 
7/24/2020 13:13,30.89,"20,567", , , 
7/24/2020 13:18,31.83,"24,975", , , 
7/24/2020 13:23,32.73,"23,224", , , 
7/24/2020 13:28,33.12,"22,559", , , 
7/24/2020 13:33,32.99,"19,441", , , 
7/24/2020 13:38,32.99,"23,265", , , 
7/24/2020 13:43,33.72,"26,860", , , 
7/24/2020 13:48,35.18,"30,546", , , 
7/24/2020 13:53,35.48,"25,354", , , 
7/24/2020 13:58,35.43,"23,747", , , 
7/24/2020 14:03,35.43,"22,815", , , 
7/24/2020 14:08,35.22,"22,098", , , 
7/24/2020 14:13,35.09,"21,729", , , 
7/24/2020 14:18,35.05,"22,999", , , 
7/24/2020 14:23,35.3,"23,521", , , 
7/24/2020 14:28,35.6,"24,668", , , 
7/24/2020 14:33,36.63,"29,583", , , 
7/24/2020 14:38,38.05,"34,038", , , 
7/24/2020 14:43,38.82,"32,614", , , 
7/24/2020 14:48,38.56,"28,426", , , 
7/24/2020 14:53,38.52,"27,853", , , 
7/24/2020 14:58,38.39,"29,798", , , 
7/24/2020 15:03,38.61,"29,307", , , 
7/24/2020 15:08,38.95,"29,460", , , 
7/24/2020 15:13,39.04,"29,000", , , 
7/24/2020 15:18,40.37,"39,260", , , 
7/24/2020 15:23,40.58,"30,638", , , 
7/24/2020 15:28,40.11,"29,358", , , 
7/24/2020 15:33,40.02,"29,399", , , 
7/24/2020 15:38,39.98,"31,089", , , 
7/24/2020 15:43,39.72,"24,740", , , 
7/24/2020 15:48,40.32,"35,246", , , 
7/24/2020 15:53,40.28,"31,611", , , 
7/24/2020 15:58,41.31,"39,526", , , 
7/24/2020 16:03,42.77,"41,400", , , 
7/24/2020 16:08,43.67,"38,932", , , 
7/24/2020 16:13,44.4,"39,414", , , 
7/24/2020 16:18,43.03,"27,771", , , 
7/24/2020 16:23,42.34,"31,314", , , 
7/24/2020 16:28,42.43,"34,406", , , 
7/24/2020 16:33,42.43,"35,717", , , 
7/24/2020 16:38,43.5,"36,157", , , 
7/24/2020 16:43,43.63,"37,888", , , 
7/24/2020 16:48,43.33,"33,044", , , 
7/24/2020 16:53,43.24,"33,894", , , 
7/24/2020 16:58,44.01,"40,182", , , 
7/24/2020 17:03,44.53,"48,599", , , 
7/24/2020 17:08,45.99,"50,422", , , 
7/24/2020 17:13,47.7,"57,364", , , 
7/24/2020 17:18,50.1,"69,018", , , 
7/24/2020 17:23,50.53,"45,609", , , 
7/24/2020 17:28,50.41,"58,552", , , 
7/24/2020 17:33,50.36,"80,077", , , 
7/24/2020 17:38,51.52,"58,307", , , 
7/24/2020 17:43,53.62,"44,995", , , 
7/24/2020 17:48,58.94,"105,308", , , 
7/24/2020 17:53,61.52,"123,003", , , 
7/24/2020 17:58,64.05,"93,594", , , 
7/24/2020 18:03,61.99,"81,859", , , 
7/24/2020 18:08,60.96,"72,765", , , 
7/24/2020 18:13,60.01,"98,058", , , 
7/24/2020 18:18,59.8,"50,053", , , 
7/24/2020 18:23,56.84,"40,847", , , 
7/24/2020 18:28,54.35,"39,014", , , 
7/24/2020 18:33,51.86,"40,253", , , 
7/24/2020 18:38,49.93,"32,614", , , 
