DateTimeHOBO_UTC,Temp_Inc,Light_Inc,
7/29/2022 17:42,26.6,20597.76,
7/29/2022 17:47,25.65,24842.24,
7/29/2022 17:52,25.82,32143.36,
7/29/2022 17:57,25.31,28456.96,
7/29/2022 18:02,25.14,17413.12,
7/29/2022 18:07,25.39,26265.6,
7/29/2022 18:12,25.44,21708.8,
7/29/2022 18:17,25.09,10094.08,
7/29/2022 18:22,25.18,21790.72,
7/29/2022 18:27,24.97,28180.48,
7/29/2022 18:32,24.15,17162.24,
7/29/2022 18:37,23.64,19814.4,
7/29/2022 18:42,23.76,26490.88,
7/29/2022 18:47,23.25,23869.44,
7/29/2022 18:52,23.12,32184.32,
7/29/2022 18:57,22.56,21032.96,
7/29/2022 19:02,22.09,19706.88,
7/29/2022 19:07,21.92,22087.68,
7/29/2022 19:12,21.62,20838.4,
7/29/2022 19:17,21.28,23203.84,
7/29/2022 19:22,21.1,21268.48,
7/29/2022 19:27,20.85,20700.16,
7/29/2022 19:32,20.33,20659.2,
7/29/2022 19:37,19.99,20367.36,
7/29/2022 19:42,19.52,18488.32,
7/29/2022 19:47,19.17,18170.88,
7/29/2022 19:52,18.79,16399.36,
7/29/2022 19:57,18.66,16051.2,
7/29/2022 20:02,18.4,16834.56,
7/29/2022 20:07,18.23,16640,
7/29/2022 20:12,17.8,15160.32,
7/29/2022 20:17,17.41,14264.32,
7/29/2022 20:22,17.11,12897.28,
7/29/2022 20:27,16.81,13685.76,
7/29/2022 20:32,16.56,13081.6,
7/29/2022 20:37,16.3,12912.64,
7/29/2022 20:42,16.04,12390.4,
7/29/2022 20:47,15.83,12707.84,
7/29/2022 20:52,15.66,12446.72,
7/29/2022 20:57,15.36,10813.44,
7/29/2022 21:02,15.14,12149.76,
7/29/2022 21:07,14.93,11648,
7/29/2022 21:12,14.75,11141.12,
7/29/2022 21:17,15.06,12477.44,
7/29/2022 21:22,15.36,12984.32,
7/29/2022 21:27,15.53,11970.56,
7/29/2022 21:32,15.78,15856.64,
7/29/2022 21:37,15.31,11653.12,
7/29/2022 21:42,15.06,9080.32,
7/29/2022 21:47,15.06,8215.04,
7/29/2022 21:52,14.97,7144.96,
7/29/2022 21:57,14.97,6458.88,
7/29/2022 22:02,14.97,5816.32,
7/29/2022 22:07,14.93,4757.76,
7/29/2022 22:12,14.93,4805.12,
7/29/2022 22:17,14.8,6064.64,
7/29/2022 22:22,14.71,6369.28,
7/29/2022 22:27,14.63,5941.76,
7/29/2022 22:32,14.71,6466.56,
7/29/2022 22:37,14.93,5350.4,
7/29/2022 22:42,14.8,4898.56,
7/29/2022 22:47,14.84,4449.28,
7/29/2022 22:52,14.97,4263.68,
7/29/2022 22:57,14.88,3445.76,
7/29/2022 23:02,14.88,2844.16,
7/29/2022 23:07,14.67,2698.24,
7/29/2022 23:12,14.54,2226.56,
7/29/2022 23:17,14.33,1554.56,
7/29/2022 23:22,14.37,1438.72,
7/29/2022 23:27,14.45,1449.6,
7/29/2022 23:32,14.5,1339.52,
7/29/2022 23:37,14.54,1198.72,
7/29/2022 23:42,14.5,951.04,
7/29/2022 23:47,14.63,686.08,
7/29/2022 23:52,14.63,462.56,
7/29/2022 23:57,14.67,270.56,
7/30/2022 0:02,14.67,177.12,
7/30/2022 0:07,14.45,114.56,
7/30/2022 0:12,14.37,61.54,
7/30/2022 0:17,14.2,31.12,
7/30/2022 0:22,14.24,19.66,
7/30/2022 0:27,14.33,14.88,
7/30/2022 0:32,14.37,12.73,
7/30/2022 0:37,14.41,11.86,
7/30/2022 0:42,14.45,11.43,
7/30/2022 0:47,14.54,11.22,
7/30/2022 0:52,14.58,11.22,
7/30/2022 0:57,14.63,11.22,
7/30/2022 1:02,14.67,11,
7/30/2022 1:07,14.67,11.86,
7/30/2022 1:12,14.45,11.43,
7/30/2022 1:17,14.37,11.22,
7/30/2022 1:22,14.2,11.22,
7/30/2022 1:27,14.33,11,
7/30/2022 1:32,14.37,9.49,
