cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.864,2.136,12.3,7.78,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.864,2.136,13.2,8.43,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.864,2.136,12,7.62,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.864,2.136,4.22,2.82,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.864,2.136,6.53,4.12,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.864,2.136,6.21,3.94,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.864,2.136,62.5,36.7,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.864,2.136,60.3,37.4,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.864,2.136,61.8,36.4,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.864,2.136,30.1,17.3,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.864,2.136,32.4,18.2,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.864,2.136,17,9.82,1.012,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,dil,N,65%,a,a,>0&<200,152,6,0.864,2.136,12.3,7.54,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,dil,N,65%,a,b,>0&<200,152,6,0.864,2.136,12.5,7.62,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
