cruise,cast,niskin,niskin_other_method,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,a,>0&<200,151,6,1.393,2.13,36.3,21.3,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,b,>0&<200,151,6,1.393,2.13,34.4,20,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,c,>0&<200,151,6,1.393,2.13,27.3,17.1,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,a,>10&<200,151,6,1.393,2.13,24.4,13.2,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,b,>10&<200,151,6,1.393,2.13,29.2,14.7,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,c,>10&<200,151,6,1.393,2.13,23.2,14.7,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,a,>0&<200,151,6,1.393,2.13,122,64.1,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,b,>0&<200,151,6,1.393,2.13,148,73.8,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,c,>0&<200,151,6,1.393,2.13,132,70.8,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,a,>10&<200,151,6,1.393,2.13,103,51.2,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,b,>10&<200,151,6,1.393,2.13,114,61.4,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,c,>10&<200,151,6,1.393,2.13,122,60.7,0.521,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,15%,a,a,>0&<200,151,6,1.393,2.13,34.6,20.2,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,15%,a,b,>0&<200,151,6,1.393,2.13,34.1,20.4,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,1',11-12-13-14',NA',L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,15%,a,c,>0&<200,151,6,1.393,2.13,33.3,19.4,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
